Day,Hosts,Infected,Parasitoids
3000,600,3000
1500,331,3020
751,177,2411
377,90,1672
188,47,1084
94,23,661
47,11,389
23,5,219
11,2,129
5,1,71
2,0,41
2,0,20
1,0,10
0,0,5
0,0,2
